id,desc,createTime,video.duration,author.verified,music.title,stats.playCount,stats.diggCount,stats.commentCount,stats.shareCount,hashtagFreqFeature,desc_len,num_hashtags,verified,hour,weekday,is_original_sound,engagement_score
6823915223615835398,#boredinthehouse #boredathome #funwithfriends @_ohmiles,2020-05-07 01:56:15,50,False,original sound,28,2,0,0,0,55,3,0,1,3,1,1.7346053772766696e-06
6814576041168735494,#Spammusubi kind of day #food #cookingvideo #spam,2020-04-11 21:55:27,15,False,Moana Marie,1250,36,1,1,0,49,4,0,21,5,0,0.00023584325144513973
6807915550593846534,Can’t stop won’t stop. #cat #cats #catlover #catsofday #catsoftiktok,2020-03-24 23:09:23,9,False,ICY GRL,78,23,0,0,0,68,5,0,23,1,0,2.2386994557330005e-05
6806227397118119173,#happyathome,2020-03-20 09:58:27,5,False,Who R U,446,22,0,0,0,12,1,0,9,4,0,3.947097267794322e-05
6806214369471515909,Coming out of this pandemic like...,2020-03-20 09:07:54,2,False,Good Morning,71,40,1,0,101,35,0,0,9,4,0,0.00017538981428370955
6828417893441719558,First tiktok,2020-05-19 05:08:58,5,False,original sound,2068,25,0,0,101,12,0,0,5,1,1,0.00012119510213680931
6702103133679521030,,2019-06-13 19:43:07,14,False,Y.M.C.A.,101,8,1,0,101,3,0,0,19,3,0,0.00014909954787847181
6702102944151506181,,2019-06-13 19:42:22,15,False,Y.M.C.A.,187,11,2,0,101,3,0,0,19,3,0,0.00029449673082060054
6701352677781032198,,2019-06-11 19:10:57,8,False,original sound,125,13,2,0,101,3,0,0,19,1,1,0.00029320693562675333
6699596396653186309,,2019-06-07 01:35:41,6,False,original sound,231,7,1,0,101,3,0,0,1,4,1,0.0001545737302583191
6692470394416270598,#makemefamous #fyp #foryoupage  #foryou #justforfun,2019-05-18 20:43:10,14,False,Ponyo On the Cliff By the Sea,44,5,1,0,0,51,5,0,20,5,0,0.00014371714251329776
6691704063144234246,I promise we treat her like a princess #foryoupage #foryou #babygirl #baby #scared #pleaselikethis,2019-05-16 19:09:24,6,False,original sound,28,3,0,0,0,98,6,0,19,3,1,2.6019080659150043e-06
6690261815521185030,,2019-05-12 21:52:45,6,False,original sound,165,9,3,3,101,3,0,0,21,6,1,0.00044951985887802643
6687560791308111109,,2019-05-05 15:11:24,14,False,Let's go！,161,3,1,2,101,3,0,0,15,6,0,0.00016051038651817092
6820255490023460102,"My babies 🥺❤️ sorry i haven’t been active, there has been a family tragedy.. 🤍🕊 but enjoy this video! #foryou #fyp #mickeymouseclubhouse",2020-04-27 05:14:37,16,False,original sound,437,58,3,3,0,136,3,0,5,0,1,0.0005052860286107517
6809792492775460102,only if i can change the picture in my yearbook 😭 #foryou #foryoupage #fyp #quarantine #makeup,2020-03-30 00:32:50,17,False,kid fran moon,5445,521,11,3,0,94,5,0,0,0,0,0.0022599417993512242
6809407184120597765,"lolpeep the shirt i made “when i lose these lonjas, it’s over for you pendejas”#quarantine #beinginquarantinebelike #fyp #foryoupage #foryou",2020-03-28 23:37:38,15,False,Roses - Imanbek Remix,105900,22600,203,182,0,140,5,0,23,5,0,0.054068041005495844
6808417710410616069,am i too late for the trend?? #repost #foryoupage #foryou #foryourpage #catfish #oops,2020-03-26 07:38:00,12,False,My Heart Went Oops,3988,182,10,6,0,85,6,0,7,3,0,0.0017754834051120472
6859473890842840326,I got so carried away.  #fyp #Alphets #foryou,2020-08-10 21:42:06,40,False,original sound,1277,53,11,8,0,45,3,0,21,0,1,0.0016827776556932424
6858837086619880709,,2020-08-09 04:31:03,8,False,original sound,164,7,0,0,101,3,0,0,4,6,1,1.2705287815191742e-05
6858802625387793669,don’t hate. Appreciate #fyp #trump2020 #biden2020,2020-08-09 02:17:18,18,False,Mood Swings,309,11,0,4,0,49,3,0,2,6,0,4.8888719094850814e-05
6858499212544314630,#fyp,2020-08-08 06:39:57,34,False,original sound,257,16,4,2,0,4,1,0,6,5,1,0.0005922686800906899
6857963345262169349,#greenscreenvideo no words,2020-08-06 20:00:25,9,False,original sound,203,9,2,0,0,26,1,0,20,3,1,0.00029354261591329133
6857051584875072774,Seriously that would look so cool. Cause usually big beards are frizzy and uglay,2020-08-04 09:02:25,34,False,original sound,171,8,0,0,101,80,0,0,9,1,1,1.3914055084440838e-05
6857050596550249734,Prove me wrong,2020-08-04 08:58:54,15,False,original sound,158,6,0,0,101,14,0,0,8,1,1,1.154530120031561e-05
6856877240869833990,You may call me mini girl,2020-08-03 21:45:48,14,False,original sound,218,19,1,0,101,25,0,0,21,0,1,0.00016434721401513056
